Organization Name,Email,Emailed?,Instagram,DM?,Facebook,
ASUC - CalTV, exec@caltv.berkeley.edu,TRUE,https://www.instagram.com/caltv/,FALSE,https://www.facebook.com/CalTVV,
ASUC - Chief Grants Officer,grants@asuc.org,TRUE,,FALSE,,
ASUC - Democratic Education at Cal,decalprogram@gmail.com,TRUE,,FALSE,,
ASUC - Health Advocacy Commission,hac@asuc.org,TRUE,https://www.instagram.com/asuchealthadvocacy/?hl=enn,FALSE,,
ASUC - Innovative Design,innovativedesignatcal@gmail.com,TRUE,https://www.instagram.com/innodatcal/,FALSE,https://www.facebook.com/InnovativeDesignUCB,
ASUC - Office of Academic Affairs,aavp@asuc.org,TRUE,,FALSE,,
ASUC - Office of External Affairs,eavp@asuc.org,TRUE,https://www.instagram.com/asuceavp/,FALSE,https://www.facebook.com/ASUCEAVP/,
ASUC - Office of the Executive Vice President,evp@asuc.org,TRUE,,FALSE,,
ASUC - Office of the President,president@asuc.org opchief@asuc.org,TRUE,https://www.instagram.com/ucbpresident/,FALSE,https://www.facebook.com/Chaka-Tellem-for-ASUC-President-106802804800878,
ASUC - Open Computing Facility,ocf.berkeley.edu,TRUE,,FALSE,,
ASUC - Senate,senate@asuc.org,TRUE,,FALSE,,
ASUC - Student Legal Clinic,legalclinic@asuc.org,TRUE,https://www.instagram.com/asuclegalclinic,FALSE,https://www.facebook.com/asuc.slc,
ASUC - Student Union Board,studentgovadvising@berkeley.edu,TRUE,,FALSE,,
ASUC Admin Office,adminoffice@asuc.org,TRUE,,FALSE,,
ASUC Appointed Officials Support Staff,,TRUE,,FALSE,,
ASUC CGO Grants,grants@asuc.org,TRUE,,FALSE,,
ASUC CGO Scholarships,,TRUE,,FALSE,,
ASUC Commercial Revenue (Cal Lodge),,TRUE,,FALSE,,
ASUC Disabled Students Commission,DSC@asuc.org,TRUE,https://www.instagram.com/asucdisabledstudents/,FALSE,,
ASUC Diversity Affairs Commission,diversityaffairscommission@asuc.org,TRUE,,FALSE,https://www.facebook.com/diversityaffairscommission/,
ASUC Executive Office Leadership Institute,,TRUE,,FALSE,,
ASUC Finance Office - Chief Financial Officer (CFO),cfo@asuc.org,TRUE,,FALSE,https://www.facebook.com/asucCFO,
ASUC Financial Wellness Commission,financialwellness@asuc.org,TRUE,,FALSE,https://www.facebook.com/ASUCFinancialWellnessCommission/,
ASUC Grants & Scholarship Foundation (formerly Berkeley Student Foundation),,TRUE,,FALSE,,
ASUC Housing Commission,housing@asuc.org,TRUE,https://www.instagram.com/asuchousingcommission/,FALSE,,
ASUC Intern Program,,TRUE,,FALSE,,
ASUC Intimate Partner Violence Commission,ipvc@asuc.org,TRUE,,FALSE,,
ASUC Judicial Council,,TRUE,,FALSE,,
ASUC Legal Office - Chief Legal Officer (CLO),legal@asuc.org,TRUE,,FALSE,,
ASUC Marketing and Communications Office- Chief Communications Officer (CCO),,TRUE,,FALSE,,
ASUC Menstrual Equity Commission,menstrualequity@asuc.org,TRUE,https://www.instagram.com/cal.menstrual.equity/,FALSE,,
ASUC Mental Health Commission,mhc@asuc.org,TRUE,http://www.instagram.com/ASUCMHC,FALSE,http://www.facebook.com/ASUCMHC,
ASUC Office of Senator Akash Ponna,akashponna@berkeley.edu,TRUE,https://www.instagram.com/asucsenatorponna/,FALSE,,
ASUC Office of Senator Anjali Jogia-Sattar,anjali.jogia-sattar@berkeley.edu,TRUE,,FALSE,,
ASUC Office of Senator Bridgette Meshkani,,TRUE,,FALSE,,
"ASUC Office of Senator Carlos Vázquez",,TRUE,,FALSE,,
"ASUC Office of Senator Charles Peng",mickaelc@berkeley.edu,TRUE,,FALSE,,
ASUC Office of Senator Deborah Kim,,TRUE,,FALSE,,
ASUC Office of Senator Deena Ali,deenaali03@berkeley.edu,TRUE,,FALSE,,
ASUC Office of Senator Emma Centeno,ekcenteno@berkeley.edu,TRUE,,FALSE,,
ASUC Office of Senator Kailen Grottel-Brown,,TRUE,,FALSE,,
ASUC Office of Senator Mahathi Kandimalla,mahathi15@berkeley.edu,TRUE,http://www.instagram.com/senatorkandimalla/,FALSE,,
ASUC Office of Senator Manuel Cisneros,mcisneros0812@berkeley.edu,TRUE,https://www.instagram.com/baddies4manny/,FALSE,,
ASUC Office of Senator Megan Yao,"meganyao@berkeley.edu",TRUE,,FALSE,,
ASUC Office of Senator Ray Hufnagel,"rayhufnagel@berkeley.edu",TRUE,https://www.instagram.com/asucsenatorhufnagel/,FALSE,,
ASUC Office of Senator Shay Cohen,shaycohen@berkeley.edu,TRUE,https://www.instagram.com/asucsenatorcohen/,FALSE,,
ASUC Office of Senator Shri Gopal,shrinidhi.gopal@berkeley.edu,TRUE,,FALSE,,
ASUC Office of Senator Soha Manzoor,,TRUE,,FALSE,,
ASUC Office of Senator Stephanie Wong,,TRUE,,FALSE,,
ASUC Office of Senator Thin Rati Oo,,TRUE,,FALSE,,
ASUC Office of Senator Tyler Mahomes,"mahomes22@berkeley.edu",TRUE,,FALSE,,
ASUC Office of Senator Yasamin Hatefi,yhatefi@asuc.org,TRUE,https://www.instagram.com/asucsenatorhatefi/,FALSE,,
ASUC Office of the Transfer Representative - Aileen Sanchez,transferstudentrep@asuc.org,TRUE,,FALSE,,
ASUC Personnel Office- Chief Personnel Officer (CPO),,TRUE,,FALSE,,
"ASUC Perspectives, an ASUC Program under the Office of the President",,TRUE,,FALSE,,
ASUC Police Oversight Commission,,TRUE,,FALSE,,
ASUC Post-Traditional Student Commission,,TRUE,,FALSE,,
ASUC Publications and Media Board,,TRUE,,FALSE,,
ASUC Restorative Justice Commission,,TRUE,,FALSE,,
ASUC Sexual Violence Commission,sexualviolence@asuc.org,TRUE,,FALSE,https://www.facebook.com/theasucsvc/,
ASUC Space Reservation Fund,studentgovadvising@berkeley.edu,TRUE,,FALSE,,
ASUC Student Advocate Office,help@berkeleysao.org,TRUE,https://www.instagram.com/berkeleysao/,FALSE,https://www.facebook.com/berkeleysao,
ASUC Student Union Program Entertainment & Recreation Board (SUPERB),superb@berkeley.edu,TRUE,,FALSE,https://www.facebook.com/asucSUPERB,
ASUC Sustainability Commission,sustainability@asuc.org,TRUE,https://www.instagram.com/asuc_steam/?hl=en,FALSE,https://www.facebook.com/asucsteam/,
ASUC Technology Office - Chief Technology Officer (CTO),technology@asuc.org,TRUE,,FALSE,,
Atrium,atrium.berkeley@gmail.com,TRUE,https://www.instagram.com/atrium.berkeley/,FALSE,https://www.facebook.com/atrium.berkeley,
Aurum Cosmetics,calaurumcosmetics@gmail.com,TRUE,https://www.instagram.com/calaurumcosmetics/,FALSE,https://www.facebook.com/calaurumcosmetics/,
Azaad,ucb.azaad@gmail.com,TRUE,https://www.instagram.com/ucbazaad/,FALSE,http://www.facebook.com/ucbazaad,
Azerbaijanis at Berkeley,melissalanderos@berkeley.edu,TRUE,,FALSE,,
Berkeley Poetry Review,bpreditors@gmail.com,TRUE,https://www.instagram.com/berkeleypoetryreview/,FALSE,https://www.facebook.com/berkeleypoetry.review/?fref=ts,
"Berkeley Political Review, The",bproutreach@gmail.com,TRUE,https://www.instagram.com/berkeleypoliticalreview/,FALSE,https://www.facebook.com/berkeleypoliticalreview,
Berkeley Public Policy Journal,berkeleypublicpolicyjournal@gmail.com,TRUE,,FALSE,https://www.facebook.com/berkeleypublicpolicyjournal/,
Berkeley Tennis Association,berkeleytennisassociation@gmail.com,TRUE,https://www.instagram.com/berktennis,FALSE,https://www.facebook.com/berkeleytennisassociation,
Berkeley Undergraduate Journal,buj@berkeley.edu,TRUE,,FALSE,,
Berkeley Urban Studies Student Association,berkeley.urbanstudies@gmail.com,TRUE,https://www.instagram.com/berkeleyurbanstudies,FALSE,http://www.facebook.com/calBUSSA,
Berkeley Women in Business,bwib.berkeley@gmail.com,TRUE,https://www.instagram.com/berkeleywib/,FALSE,https://www.facebook.com/BerkeleyWIB/,
Best Laid Plans,bestlaidplansimprov@gmail.com,TRUE,https://www.instagram.com/blpimprov/,FALSE,http://www.facebook.com/pleaselikeus,
Beta Alpha Psi,rush.berkeleybap@gmail.com,TRUE,https://www.instagram.com/berkeleybap/,FALSE,https://www.facebook.com/bapberkeley/,
Beta Corporate Solutions,dantruong@berkeley.edu,TRUE,,FALSE,,
Beyond Academia,info@beyondacademia.berkeley.edu,TRUE,https://www.instagram.com/beyondacademia/,FALSE,https://www.facebook.com/beyondacademiaberkeley,
Bhagat Puran Singh Health Initiative at Berkeley,ucberkeley@bpshi.com,TRUE,https://www.instagram.com/berkeleybpshi//,FALSE,https://www.facebook.com/ucberkeleybpshi/?ref=bookmarks,
Bias Busters,biasbusters-admin@lists.eecs.berkeley.edu,TRUE,,FALSE,https://www.facebook.com/groups/781551368663424/,
BicyCal,hello@bicycal.berkeley.edu,TRUE,,FALSE,https://www.facebook.com/BicyCAL,
Big Data at Berkeley,bigdata.berkeley@gmail.com,TRUE,https://www.instagram.com/bigdata.berkeleyy,FALSE,https://www.facebook.com/bigdata.berkeley/,
Bike Builders of Berkeley,contact@bikebuilders.berkeley.edu,TRUE,,FALSE,,
Bio-Business Initiative,sarvesh2019@berkeley.edu,TRUE,https://www.instagram.com/biobusinessinitiative/,FALSE,https://www.facebook.com/Bio-Business-Initiative-100428461423829/,
Bio-Inspired Design at Berkeley,biodesign.community@gmail.com,TRUE,https://www.instagram.com/biodesignberkeleycommunity/,FALSE,https://www.facebook.com/bioinspireddesign,
Biocycles at Berkeley,biocycles.berkeley@gmail.com,TRUE,https://www.instagram.com/biocyclesberkeley//,FALSE,,
BioE Mentor Program,bmp.berkeley@gmail.com,TRUE,https://www.instagram.com/bmp.berkeley//,FALSE,,
BioEngineering Association of Students,bioeBEAST@gmail.com,TRUE,http://www.instagram.com/bioe_beast,FALSE,,
Bioengineering Honor Society,bioehs.exec@lists.berkeley.edu,TRUE,https://www.instagram.com/cal.bioehs//,FALSE,https://www.facebook.com/pages/Bioengineering-Honor-Society/5439671356231099,
BioethiCAL,bioethical.berkeley@gmail.com,TRUE,https://www.instagram.com/bioethi.cal//,FALSE,https://www.facebook.com/bioethical.berkeley,
Biofuels Technology Club,biofuelstechnology@gmail.com,TRUE,https://www.instagram.com/biofuelstechnology/,FALSE,https://www.facebook.com/BerkeleyBTC/,
Biomedical Engineering Society,,TRUE,http://www.instagram.com/calbmess,FALSE,http://www.facebook.com/calbmes,
Bioprinting at Berkeley,calbioprinting@gmail.com,TRUE,,FALSE,https://www.facebook.com/bioprintingatberkeley/,
Biotech @Berkeley,biotechgroup@berkeley.edu,TRUE,,FALSE,,
Black Advocates for Equity in Health,baeh@berkeley.edu,TRUE,,FALSE,,
Black Engineering and Science Students Association,ucberkeleybessa@gmail.com,TRUE,https://www.instagram.com/ucbessa/,FALSE,https://www.facebook.com/groups/7332601899/?ref=br_tf,
Black Geographies at Berkeley,janehenderson@berkeley.edu,TRUE,,FALSE,,
Black Pre-Law Association at Berkeley,bplaberkeley@gmail.com,TRUE,https://www.instagram.com/bplaberkeley/,FALSE,https://www.facebook.com/BPLAatBerkeley/,
Black Recruitment and Retention Center,brrcboard@gmail.com,TRUE,https://www.instagram.com/brrc_berkeley/,FALSE,,
Black Sociological Alliance,blacksociologicalalliance@gmail.com,TRUE,https://www.instagram.com/bsaatcal/?hl=en,FALSE,https://www.facebook.com/blacksociologicalalliance/,
Black Student Union,chair.calbsu@gmail.com,TRUE,https://www.instagram.com/blackatberkeley/,FALSE,,
Black Students in Health Association,calbsha@gmail.com,TRUE,https://www.instagram.com/calbsha/,FALSE,,
Blockchain at Berkeley (formerly Bitcoin Association of Berkeley),admin@blockchain.berkeley.edu,TRUE,https://instagram.com/calblockchainn,FALSE,https://www.facebook.com/berkeleyblockchainn,
Blockeley,info@blockeley.com,TRUE,https://www.instagram.com/blockeleyofficial/,FALSE,https://www.facebook.com/Blockeley,
Blood Pressure Project,projectbloodpressure@gmail.com,TRUE,http://www.instagram.com/bloodpressureprojectt,FALSE,http://facebook.com/bloodpressureproject,
Blue and Gold Yearbook, info@yearbook.berkeley.edu,TRUE,https://www.instagram.com/calbgyearbook//,FALSE,https://www.facebook.com/calyearbook/,
"Blueprint, Technology for Nonprofits",team@calblueprint.org,TRUE,https://www.instagram.com/calblueprint/,FALSE,https://www.facebook.com/CalBlueprint,
Board Games at Berkeley,Ucberkeleygames@gmail.com,TRUE,,FALSE,https://www.facebook.com/CALBGB/,
Boricuas at Berkeley,boricuasinberkeley@gmail.com,TRUE,https://www.instagram.com/berkeleyboricua/,FALSE,https://www.facebook.com/berkeleyboricuas/,
Brain Exercise Initiative at Berkeley,wanees@berkeley.edu,TRUE,https://www.instagram.com/brainexerciseinitiative/,FALSE,,
BrainTrust,braintrustberkeley@gmail.com,TRUE,https://www.instagram.com/braintrustatberkeley/,FALSE,https://www.facebook.com/BrainTrustatBerkeley,
Brazilian Student Association at Berkeley,brasaberkeley@gmail.com,TRUE,,FALSE,https://www.facebook.com/BRASA-Berkeley-314385989256418//,
BridgeUSA at Berkeley,samayapatel@berkeley.edu,TRUE,https://www.instagram.com/berkeleybridgeusa/,FALSE,https://www.facebook.com/BridgeUSAatBerkeley/,
Brown Issues,brownissues.ucb@gmail.com,TRUE,https://instagram.com/brownissues_ucb?igshid=12otdjsjjw43w,FALSE,,
Burmese Students Association at Berkeley (Formerly: Burma Association at Berkeley),bab.berkeley@gmail.com,TRUE,https://www.instagram.com/calbursa/,FALSE,https://www.facebook.com/BurmaAtCal?fref=ts,
Business Careers in Entertainment Club,calbcec@gmail.com,TRUE,https://www.instagram.com/calbcec/,FALSE,https://www.facebook.com/CalBCEC,
Business Review at Berkeley,businessreviewatberkeley@gmail.com,TRUE,https://www.instagram.com/businessreviewberkeley//,FALSE,https://www.facebook.com/businessreviewatberkeley/,
Business Transfer Network of Berkeley,btnexecboard@btn.berkeley.edu,TRUE,https://www.instagram.com/btnberkeley,FALSE,https://www.facebook.com/btnberkeley,
Cal Actuarial League,jaehwanlee@berkeley.edu,TRUE,https://www.instagram.com/calactuarialleague/,FALSE,https://www.facebook.com/CalActuarialLeague/,
Cal American Civil Liberties Union,calaclu1920@gmail.com,TRUE,http://www.instagram.com/calaclu,FALSE,http://facebook.com/calaclu,
Cal Animage Alpha,webmaster@calanimagealpha.com,TRUE,https://www.instagram.com/calanimagealpha/,FALSE,https://www.facebook.com/calanimagealpha/,
Cal Archery,california.archery@gmail.com,TRUE,https://www.instagram.com/calarchery,FALSE,https://www.facebook.com/calarchery,
Cal Badminton,calbadminton@gmail.com,TRUE,https://www.instagram.com/cal_badminton/?hl=en,FALSE,https://www.facebook.com/calbadminton1,
Cal Ballroom,president.calballroom@gmail.com,TRUE,,FALSE,https://www.facebook.com/CalBallroom/,
Cal Berkeley Democrats,president@caldems.com,TRUE,http://instagram.com/CalDems,FALSE,http://www.facebook.com/caldems,
Cal Bhangra (formerly Golden Bear Competitive Bhangra),calbhangra@gmail.com,TRUE,https://www.instagram.com/calbhangra/,FALSE,https://www.facebook.com/calbhangra/,
Cal Boxing,calboxingclub@gmail.com,TRUE,https://www.instagram.com/calboxingteam/,FALSE,https://www.facebook.com/CalBoxing/,
Cal Chorale,calchorale@gmail.com,TRUE,http://instagram.com/calchorale,FALSE,,
Cal Christian Fellowship,intervarsityccf@gmail.com,TRUE,https://www.instagram.com/calchristianfellowship/,FALSE,https://www.facebook.com/IVCCF,
Cal Club Tennis,californiaclubtennis@gmail.com,TRUE,https://www.instagram.com/calclubtennis/?hl=en,FALSE,https://www.facebook.com/calclubtennis/,
Cal Community Music,calcommunitymusic@gmail.com,TRUE,,FALSE,https://www.facebook.com/groups/calcommunitymusic/,
Cal Copts,copticatcal@gmail.com,TRUE,https://www.instagram.com/calcopts/,FALSE,https://www.facebook.com/calcopts,
